GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
race-demo,com.example.TeamAppDemo.Validation,NotAfterValidator,0,22,0,4,0,5,0,5,0,3
race-demo,com.example.TeamAppDemo.Exception,BusinessRuleViolationException,0,4,0,0,0,1,0,1,0,1
race-demo,com.example.TeamAppDemo.Exception,ApiExceptionHandler,0,111,0,0,0,22,0,12,0,12
race-demo,com.example.TeamAppDemo.Exception,ResourceNotFoundException,0,4,0,0,0,1,0,1,0,1
race-demo,com.example.TeamAppDemo.DTO,DriverDtos.DriverCreateRequest,0,3,0,0,0,1,0,1,0,1
race-demo,com.example.TeamAppDemo.DTO,RaceDtos.RaceResponse,0,3,0,0,0,1,0,1,0,1
race-demo,com.example.TeamAppDemo.DTO,DriverDtos.DriverResponse,0,10,0,0,0,4,0,3,0,3
race-demo,com.example.TeamAppDemo.DTO,DriverDtos,3,0,0,0,1,0,1,0,1,0
race-demo,com.example.TeamAppDemo.DTO,TeamDtos.TeamUpdateRequest,0,3,0,0,0,1,0,1,0,1
race-demo,com.example.TeamAppDemo.DTO,RaceDtos,3,0,0,0,1,0,1,0,1,0
race-demo,com.example.TeamAppDemo.DTO,DriverDtos.DriverUpdateRequest,0,3,0,0,0,1,0,1,0,1
race-demo,com.example.TeamAppDemo.DTO,RaceDtos.RaceCreateRequest,0,3,0,0,0,1,0,1,0,1
race-demo,com.example.TeamAppDemo.DTO,TeamDtos.TeamCreateRequest,0,3,0,0,0,1,0,1,0,1
race-demo,com.example.TeamAppDemo.DTO,TeamDtos,3,0,0,0,1,0,1,0,1,0
race-demo,com.example.TeamAppDemo.DTO,RaceDtos.RaceUpdateRequest,0,3,0,0,0,1,0,1,0,1
race-demo,com.example.TeamAppDemo.DTO,TeamDtos.TeamResponse,0,3,0,0,0,1,0,1,0,1
race-demo,com.example.TeamAppDemo,TeamAppDemoApplication,11,3,0,0,4,1,1,1,1,1
race-demo,com.example.TeamAppDemo.Controller,DriverController,0,106,0,2,0,23,0,10,0,9
race-demo,com.example.TeamAppDemo.Controller,NavigationController,5,0,0,0,2,0,2,0,2,0
race-demo,com.example.TeamAppDemo.Controller,RaceController,4,92,0,0,0,20,1,9,1,9
race-demo,com.example.TeamAppDemo.Controller,TeamController,31,109,7,3,7,25,7,8,2,8
race-demo,com.example.TeamAppDemo.Entity,Team,6,47,0,0,2,13,2,12,2,12
race-demo,com.example.TeamAppDemo.Entity,Race,4,53,0,0,2,15,1,14,1,14
race-demo,com.example.TeamAppDemo.Entity,DriverRaceId,27,43,4,4,3,10,7,5,3,5
race-demo,com.example.TeamAppDemo.Entity,Driver,0,46,0,0,0,13,0,12,0,12
race-demo,com.example.TeamAppDemo.Entity,DriverRace,4,51,0,0,1,15,1,9,1,9
race-demo,com.example.TeamAppDemo.Config,CorsConfig,8,0,0,0,2,0,2,0,2,0
race-demo,com.example.TeamAppDemo.Config,CorsConfig.new WebMvcConfigurer() {...},54,0,0,0,7,0,2,0,2,0
race-demo,com.example.TeamAppDemo.Config,OpenApiConfig,3,0,0,0,1,0,1,0,1,0
race-demo,com.example.TeamAppDemo.Service,TeamService,4,221,4,18,0,48,4,19,0,12
race-demo,com.example.TeamAppDemo.Service,DriverService,66,175,2,6,17,39,5,15,4,12
race-demo,com.example.TeamAppDemo.Service,RaceService,12,293,6,24,2,65,5,24,0,14
